g1,g2
0.000000,0.000000
0.000000,0.000129
0.000000,0.000399
0.000000,0.000640
0.000000,0.000682
0.000000,0.000366
0.000000,-0.000458
0.000000,-0.001924
0.000000,-0.004152
0.000000,-0.007237
0.000000,-0.011257
0.000000,-0.016264
0.000000,-0.022286
0.000000,-0.029324
0.000000,-0.037355
0.000000,-0.046329
0.000000,-0.056171
0.000000,-0.066783
0.000000,-0.078044
0.000000,-0.089810
0.000000,-0.101922
0.000000,-0.114202
0.000000,-0.126460
0.000000,-0.138497
0.000000,-0.150107
0.000000,-0.161077
0.000000,-0.171199
0.000000,-0.180265
0.000000,-0.188075
0.000000,-0.194440
0.000000,-0.199182
0.000000,-0.202142
0.000000,-0.203179
0.000000,-0.202174
0.000000,-0.199036
0.000000,-0.193696
0.000000,-0.186118
0.000000,-0.176294
0.000000,-0.164251
0.000000,-0.150047
0.000000,-0.133775
0.000000,-0.115561
0.000000,-0.095566
0.000000,-0.073983
0.000000,-0.051036
0.000000,-0.026979
0.000000,-0.002091
0.000000,0.023325
0.000000,0.048946
0.000000,0.074438
0.000000,0.099452
0.000000,0.123640
0.000000,0.146652
0.000000,0.168147
0.000000,0.187794
0.000000,0.205282
0.000000,0.220323
0.000000,0.232658
0.000000,0.242059
0.000000,0.248337
0.000000,0.251344
0.000000,0.250977
0.000000,0.247179
0.000000,0.239945
0.000000,0.229320
0.000000,0.215403
0.000000,0.198347
0.000000,0.178357
0.000000,0.155689
0.000000,0.130652
0.000000,0.103597
0.000000,0.074920
0.000000,0.045049
0.000000,0.014446
0.000000,-0.016411
0.000000,-0.047025
0.000000,-0.076901
0.000000,-0.105544
0.000000,-0.132477
0.000000,-0.157243
0.000000,-0.179419
0.000000,-0.198620
0.000000,-0.214505
0.000000,-0.226787
0.000000,-0.235235
0.000000,-0.239678
0.000000,-0.240010
0.000000,-0.236190
0.000000,-0.228245
0.000000,-0.216270
0.000000,-0.200428
0.000000,-0.180947
0.000000,-0.158120
0.000000,-0.132299
0.000000,-0.103893
0.000000,-0.073357
0.000000,-0.041187
0.000000,-0.007913
0.000000,0.025914
0.000000,0.059732
